Spp,Reg,Latitude,Longitude,MonthMaxALA,MonthCollectionLabel,MonthsActivityALA,Batch,NameinHR
pczv02,PicXB64853,-30.23,153.02,1,1,"01,12",original,NA
pczv03,PicXB64857,-30.279,152.9907,1,12,"01,12",original,NA
pczv04,pczv04,-31.743,152.563,1,12,"01,12",HR,oliv1
pczv05,pczv05,-30.23,153.02,1,11,"01,12",HR,oliv2
pind01,ANIC008997,-30.51667023,151.6667023,1,1,"01,12",original,NA
pind02,ANIC008999,-30.51667023,151.6667023,1,1,"01,12",original,NA
pind03,ANIC009000,-30.51667,151.6667,1,1,"01,12",original,NA
pind04,ANIC008950,-35.26667023,149.1000061,1,12,"01,12",original,NA
pind05,ANIC008943,-35.38334,149.0833,1,12,"01,12",original,NA
pind06,ANIC009007,-35.3,149.1333333,1,1,"01,12",original,NA
pind07,ANIC008968,-30.51667023,151.6667023,1,1,"01,12",original,NA
pind08,ANIC008967,-29.81666946,151.7333069,1,1,"01,12",original,NA
pine01,PicXB54424,-11.39,142.27,12,1,"12,",original,NA
poro01,ANIC009078,-35.26667023,149.1000061,1,12,"01,02,12",original,NA
poro02,ANIC009079,-35.26667023,149.1000061,1,1,"01,02,12",original,NA
poro03,ANIC009346,-29.11667,152.1667,1,12,"01,02,12",original,NA
poro04,ANIC009349,-27.93333,152.9333,1,12,"01,02,12",original,NA
poro05,ANIC009358,-28.55,151.8333,1,12,"01,02,12",original,NA
poro06,ANIC009359,-26.55,153.0833,1,12,"01,02,12",original,NA
poro07,ANIC009360,-26.55,153.0833,1,12,"01,02,12",original,NA
poro08,ANIC009240,-35.26667023,149.1000061,1,2,"01,02,12",original,NA
poro09,ANIC009241,-35.31666667,149.1,1,12,"01,02,12",original,NA
poro10,ANIC009243,-37.95,147.1167,1,1,"01,02,12",original,NA
poro11,ANIC009244,-35.65,150.1333333,1,1,"01,02,12",original,NA
poro12,ANIC009247,-37.53333,148.2333,1,12,"01,02,12",original,NA
poro13,ANIC009639,-30.51667,151.65,1,1,"01,02,12",original,NA
poro14,ANIC009641,-30.51667,151.65,1,1,"01,02,12",original,NA
poro15,ANIC009644,-17.45000076,145.3,1,12,"01,02,12",original,NA
poro16,ANIC009199,-16.91667,145.7667,1,1,"01,02,12",HR,poro1
poro17,ANIC009200,-19.63333321,147.5,1,1,"01,02,12",HR,poro2
prsi01,ANIC010038,-28.66666985,153.2832947,12,11,"01,10,11,12",original,NA
prsi02,ANIC010037,-28.61666667,153.3833333,12,11,"01,10,11,12",original,NA
prsi03,ANIC010039,-30.38333,152.9833,12,11,"01,10,11,12",original,NA
prsi04,ANIC010040,-30.38333,152.9833,12,11,"01,10,11,12",HR,prsi1
prsi05,ANIC010045,-28.81666667,153.2666667,12,10,"01,10,11,12",HR,prsi2
prsi06,ANIC010043,-28.2,153.1833,12,12,"01,10,11,12",HR,prsi3
psqz01,PicXB65066,-33.567192,151.180547,12,3,"12,",original,NA
psqz02,PicXB65069,-33.567192,151.180547,12,12,"12,",original,NA
psqz03,PicXB65074,-33.567192,151.180547,12,3,"12,",original,NA
punc01,ANIC010186,-19.08333,146.3333,1,1,"01,11,12",original,NA
punc02,ANIC010200,-16.8,145.6333333,1,11,"01,11,12",original,NA
pvul01,ANIC008611,-19.6,146.8333333,1,12,"01,12",original,NA
pvul02,ANIC008607,-19.63333321,147.5,1,1,"01,12",original,NA
pvul03,ANIC008742,-21.15,149.1833333,1,1,"01,12",original,NA
pvul04,ANIC008709,-16.91667,145.7667,1,1,"01,12",original,NA
pvul05,ANIC008650,-19.6,146.8333333,1,1,"01,12",HR,pvul1
pvul06,ANIC008651,-19.51667,147.1,1,12,"01,12",HR,pvul2
rayn01,PicXB33977,-16.31,145.04,2,11,"01,02,12",original,NA
rayn02,PicXB33994,-16.41,145.2,2,3,"01,02,12",original,NA
rayn03,PicXB34002,-16.41,145.2,2,1,"01,02,12",original,NA
rayn04,rayn04,-28.04,145.41,2,12,"01,02,12",HR,rayn1
rayn05,rayn05,-28.04,145.41,2,12,"01,02,12",HR,rayn2
repa01,PicXB44142,-30.39232,152.992623,1,11,"01,05,11,12",original,NA
repa02,PicXB44146,-35.273657,149.09899,1,12,"01,05,11,12",original,NA
repa03,repa03,-26.56,153.08,1,12,"01,05,11,12",HR,rpan1
reps01,PicXB44136,-33.399048,151.086442,1,11,"01,12",original,NA
reps02,PicXB44139,-32.791273,150.9181116,1,1,"01,12",original,NA
reps03,reps03,-33.546,150.895,1,12,"01,12",HR,rpmm1
rept01,PicXB44127,-35.319838,148.953996,1,12,"01,02,12",original,NA
rept02,PicXB44130,-35.526563,148.843618,1,2,"01,02,12",original,NA
rept03,PicXB44133,-35.303871,148.894536,1,1,"01,02,12",original,NA
rina01,ANIC010272,-30.06666667,153.2,12,12,"01,11,12",original,NA
rina02,ANIC010273,-30.38333,153.0333,12,12,"01,11,12",original,NA
rina03,ANIC010275,-28.58333,151.8,12,1,"01,11,12",original,NA
rina04,ANIC010276,-28.58333,151.8,12,1,"01,11,12",original,NA
roci01,ANIC010586,-18.98332977,146.1499939,1,1,"01,02,12",original,NA
roci02,ANIC010614,-19,146.1999969,1,1,"01,02,12",original,NA
roci03,ANIC010521,-17.48332977,145.4833069,1,3,"01,02,12",original,NA
roci04,ANIC010613,-19,146.1999969,1,1,"01,02,12",original,NA
rose01,PicXB13662,-11.153309,132.1416199,3,2,"03,04",original,NA
rose02,PicXB13665,-16.08,136.06,3,4,"03,04",original,NA
rose03,PicXB13668,-12.436744,131.070062,3,1,"03,04",original,NA
rose04,PicXB44119,-16.08,136.06,3,4,"03,04",original,NA
rose05,rose05,-11.015,136.7484,3,2,"03,04",HR,rose1
rubi01,ANIC010645,-30.38333,151.9333,12,12,"01,12",original,NA
rubi02,ANIC010646,-30.38333,151.9333,12,12,"01,12",original,NA
rubi03,ANIC010946,-37.3,146.1333,1,12,"01,12",original,NA
rubi04,ANIC010947,-37.3,146.1333,1,12,"01,12",original,NA
rubi05,ANIC010951,-35.33333333,149.3333333,1,12,"01,12",original,NA
rubi06,ANIC010953,-35.33333333,149.3333333,1,12,"01,12",original,NA
rugo01,ANIC010744,-34.05,151.15,12,1,"01,12",original,NA
rugo02,ANIC010749,-35.55,149.95,12,12,"01,12",original,NA
rugo03,ANIC010747,-35.55,149.95,12,12,"01,12",original,NA
saul01,PicXB65077,-37.792826,146.9307777,1,11,"01,02,12",original,NA
saul02,PicXB65082,-41.894191,147.642569,1,7,"01,02,12",original,NA
smgg01,ANIC010794,-17.58333,145.9833,1,11,"01,11,12",original,NA
smgg02,ANIC010857,-17.46667,146.0333,1,11,"01,11,12",original,NA
smgg03,ANIC010862,-17.53333,146.0167,1,11,"01,11,12",HR,smgd1
smgg04,ANIC010863,-16.91667,145.7667,1,1,"01,11,12",HR,smgd2
smgp01,ANIC010755,-16.91667,145.7667,1,1,"01,11,12",original,NA
smgr01,ANIC010756,-16.91667,145.7667,1,1,"01,11,12",original,NA
sqzb01,PicXB64875,-35.58,150.09,1,1,"01,02,12",original,NA
sqzb02,PicXB64879,-35.58,150.09,1,1,"01,02,12",original,NA
sqzc01,PicXB64883,-28.591813,152.499561,1,1,"01,12",original,NA
sqzc02,PicXB64886,-27.545122,151.988168,1,11,"01,12",original,NA
sqzc03,PicXB64889,-28.196645,153.186868,1,12,"01,12",original,NA
sqzm01,PicXB64894,-16.53674,145.353893,12,1,"01,12",original,NA
sqzm02,PicXB64898,-16.3,145.16,12,1,"01,12",original,NA
tars01,ANIC011524,-30.38333,153.0333,1,1,"01,02,11,12",original,NA
tars02,ANIC011518,-30.38333,153.0333,1,1,"01,02,11,12",original,NA
tars03,ANIC011508,-31.13333,149.55,1,11,"01,02,11,12",original,NA
tars04,ANIC011459,-35.38334,148.8667,1,4,"01,02,11,12",original,NA
tars05,ANIC011535,-30.98333333,151.5833333,1,2,"01,02,11,12",HR,tars1
tars06,ANIC011492,-34.96666667,149.0333333,1,2,"01,02,11,12",HR,tars2
velu01,ANIC011247,-35.26667,149.15,11,11,"10,11,12",original,NA
velu02,ANIC011270,-27.93333,152.9333,11,12,"10,11,12",original,NA
velu03,ANIC011243,-35.26667023,149.1000061,11,11,"10,11,12",original,NA
velu04,ANIC002879,-31.33333333,138.6,10,11,"10,11,12",original,NA
