ind,SpeciesName,ANIC,Pic_code,Filter,tr,label,area,mean,min,max,camera_cat,location,patch_ID
boid03,Anoplognathus_boisduvalii,AN25000366,4359,LCP,Elytra,R,5.04,106.986,45,191,F01,RoI,boid03Elyt
boid03,Anoplognathus_boisduvalii,AN25000366,4360,RCP,Elytra,R,5.04,107.066,46,172,F01,RoI,boid03Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4361,VIS,Elytra,B,3.229,30.739,16,129,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4362,LCP,Elytra,B,3.229,16.169,0,75,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4363,RCP,Elytra,B,3.229,17.91,0,85,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4361,VIS,Elytra,G,3.229,42,23,155,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4362,LCP,Elytra,G,3.229,32.15,14,115,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4363,RCP,Elytra,G,3.229,29.264,14,96,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4361,VIS,Elytra,R,3.229,64.921,27,185,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4362,LCP,Elytra,R,3.229,57.747,21,152,F01,RoI,boid04Elyt
boid04,Anoplognathus_boisduvalii,AN25000326,4363,RCP,Elytra,R,3.229,52.58,22,162,F01,RoI,boid04Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4364,VIS,Elytra,B,4.185,29.487,13,132,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4365,LCP,Elytra,B,4.185,19.586,4,88,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4366,RCP,Elytra,B,4.185,13.173,0,84,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4364,VIS,Elytra,G,4.185,44.454,19,155,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4365,LCP,Elytra,G,4.185,35.314,10,110,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4366,RCP,Elytra,G,4.185,32.62,9,98,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4364,VIS,Elytra,R,4.185,58.247,18,161,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4365,LCP,Elytra,R,4.185,48.943,14,118,F01,RoI,boid05Elyt
boid05,Anoplognathus_boisduvalii,AN25000344,4366,RCP,Elytra,R,4.185,49.087,14,106,F01,RoI,boid05Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4367,VIS,Elytra,B,4.001,36.526,9,110,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4368,LCP,Elytra,B,4.001,7.814,0,95,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4369,RCP,Elytra,B,4.001,7.701,0,99,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4367,VIS,Elytra,G,4.001,75.147,48,156,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4368,LCP,Elytra,G,4.001,57.866,33,151,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4369,RCP,Elytra,G,4.001,56.742,32,147,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4367,VIS,Elytra,R,4.001,106.337,63,177,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4368,LCP,Elytra,R,4.001,91.748,47,174,F01,RoI,brev01Elyt
brev01,Anoplognathus_brevicollis,AN25000559,4369,RCP,Elytra,R,4.001,89.944,46,166,F01,RoI,brev01Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4371,VIS,Elytra,B,5.892,28.654,0,131,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4372,LCP,Elytra,B,5.892,6.206,0,78,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4373,RCP,Elytra,B,5.892,5.484,0,73,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4371,VIS,Elytra,G,5.892,68.231,30,169,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4372,LCP,Elytra,G,5.892,54.075,19,123,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4373,RCP,Elytra,G,5.892,55.39,21,120,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4371,VIS,Elytra,R,5.892,98.997,33,190,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4372,LCP,Elytra,R,5.892,85.165,22,147,F01,RoI,brev02Elyt
brev02,Anoplognathus_brevicollis,AN25000558,4373,RCP,Elytra,R,5.892,87.83,27,156,F01,RoI,brev02Elyt
ecry01,Epichrysus_lamprimoides,NA,3671,VIS,Elytra,B,1.784,22.721,0,106,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3672,LCP,Elytra,B,1.784,1.658,0,54,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3673,RCP,Elytra,B,1.784,20.056,11,83,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3671,VIS,Elytra,G,1.784,75.03,36,181,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3672,LCP,Elytra,G,1.784,90.302,39,194,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3673,RCP,Elytra,G,1.784,27.394,18,100,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3671,VIS,Elytra,R,1.784,67.326,32,177,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3672,LCP,Elytra,R,1.784,67.933,22,175,J21,RoI,ecry01Elyt
ecry01,Epichrysus_lamprimoides,NA,3673,RCP,Elytra,R,1.784,43.567,21,100,J21,RoI,ecry01Elyt
ecry02,Epichrysus_lamprimoides,NA,4101,VIS,Elytra,B,3.106,28.631,0,189,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4102,LCP,Elytra,B,3.106,1.22,0,114,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4103,RCP,Elytra,B,3.106,26.16,12,143,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4101,VIS,Elytra,G,3.106,86.613,43,255,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4102,LCP,Elytra,G,3.106,104.571,46,251,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4103,RCP,Elytra,G,3.106,33.878,17,173,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4101,VIS,Elytra,R,3.106,85.881,44,253,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4102,LCP,Elytra,R,3.106,96.99,44,252,J26,RoI,ecry02Elyt
ecry02,Epichrysus_lamprimoides,NA,4103,RCP,Elytra,R,3.106,48.942,24,163,J26,RoI,ecry02Elyt
ecry03,Epichrysus_lamprimoides,NA,4107,VIS,Elytra,B,2.443,31.688,0,163,J26,RoI,ecry03Elyt
