species,reg,lat,lon,avg_temp_over_35,avg_max_temp,avg_min_temp,avg_sol,avg_year_sol,avg_year_vpr,cloud_cover,avg_rr,avg_vpr,avg_temp_over_35_Coll,avg_max_temp_Coll,avg_min_temp_Coll,avg_sol_Coll,avg_rr_Coll,avg_vpr_Coll
fchi01,PicXB13643,-11.45,142.35,28.7,31.04897901,23.0055922,19.80796197,19.98122407,26.37903525,25.97298277,5.230461478,26.4545564,4.5,31.14403226,22.97874389,20.00587488,4.208699902,26.18794184
fchi02,PicXB33972,-11.45,142.35,28.7,31.04897901,23.0055922,19.80796197,19.98122407,26.37903525,25.97298277,5.230461478,26.4545564,4.5,31.14403226,22.97874389,20.00587488,4.208699902,26.18794184
fchi03,fchi03,-11.39,142.27,6.4,30.94042632,23.25686275,20.34627897,20.0300112,26.6216624,25.50122142,4.729307784,26.52907969,0.5,30.90409091,23.12654692,19.96054985,5.256231672,26.56666239
fchi04,fchi04,-11.39,142.27,6.4,30.94042632,23.25686275,20.34627897,20.0300112,26.6216624,25.50122142,4.729307784,26.52907969,1.3,30.96156818,23.25611364,20.56802273,4.313409091,26.29753788
gray01,PicXB34007,-12.19,133.19,248.1,33.70821945,22.85973192,21.48662968,21.66122076,24.00316405,19.66273221,4.063902743,24.11135616,40.1,33.73957576,22.89289394,21.41784848,4.12719697,23.84657879
gray02,PicXB34011,-17.400166,123.732457,468.9,35.3951197,21.53938279,22.0915798,22.21873507,20.18384236,14.06955996,2.383852868,20.36991598,71.7,35.2574697,21.50139394,21.77809091,2.776893939,20.43987652
gray03,PicXB13638,-14.31,132.22,353.8,34.38825312,20.19046509,22.26062594,22.38779803,20.29958262,16.00195,3.224501247,20.28832735,65,34.21452346,20.48233138,21.87139296,5.499046921,20.90489191
gray04,gray04,-18.96,144.987,31.9,29.89466958,17.44149252,20.64880798,20.77749564,17.84766383,18.12077993,1.817269327,17.98082267,5.5,29.96250758,17.41179545,20.88391667,2.001212121,18.08627841
gray05,gray05,-17.69,123.6,473.9,35.45276808,21.3551808,22.19225686,22.29957566,19.81187376,-1.752236606,2.291259352,19.9993397,72.2,35.33187879,21.32266667,21.85998485,3.033257576,20.0553947
hirs01,ANIC002925,-35.38334,149.0833,7.5,20.48729839,7.040766129,16.85731672,16.77332193,10.55677782,14.97744286,1.55058651,10.44691758,3,20.23557918,6.612624633,17.21054985,1.6021261,10.17342463
hirs02,ANIC002929,-34.58333,149.5667,7.4,19.65322947,6.524923021,16.85448314,16.7297841,10.61800694,17.36934042,1.567155425,10.51903377,3.1,19.40840176,6.09627566,16.99222874,1.915542522,10.25127904
hirs03,ANIC002943,-33.25,150.6667,11.7,22.45955279,10.02075513,15.62246823,15.82285839,13.04778029,22.30663451,2.291397849,12.91818331,3.9,22.21260606,10.33465152,15.10162626,2.730505051,13.16230101
hirs04,ANIC002974,-31.05,151.7666667,0.7,19.9963563,7.239105572,17.41559751,17.42063589,12.25577913,20.94517901,1.996627566,12.26213142,0.1,19.76975073,7.190168622,17.13329179,2.392155425,12.2202136
hirs05,ANIC002975,-31.05,151.7666667,0.7,19.9963563,7.239105572,17.41559751,17.42063589,12.25577913,20.94517901,1.996627566,12.26213142,0.1,19.76975073,7.190168622,17.13329179,2.392155425,12.2202136
hirs06,ANIC002976,-31.05,151.7666667,0.7,19.9963563,7.239105572,17.41559751,17.42063589,12.25577913,20.94517901,1.996627566,12.26213142,0.1,19.76975073,7.190168622,17.13329179,2.392155425,12.2202136
hirs07,ANIC002978,-28.76667,151.85,4.8,22.27853861,9.254376833,18.34217253,18.4423262,12.63158769,19.37112468,1.986803519,12.73573397,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
hirs08,ANIC002981,-28.76667,151.85,4.8,22.27853861,9.254376833,18.34217253,18.4423262,12.63158769,19.37112468,1.986803519,12.73573397,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
hirs09,ANIC002982,-30.51667,151.65,1.9,20.43540811,7.367111437,18.03605816,18.00184628,11.42992934,19.08510307,1.582966764,11.52642254,1.9,20.4477175,7.419100684,18.05039589,1.426979472,11.48367595
hirs10,ANIC002986,-31.05,151.7666667,0.7,19.9963563,7.239105572,17.41559751,17.42063589,12.25577913,20.94517901,1.996627566,12.26213142,0.1,19.76975073,7.190168622,17.13329179,2.392155425,12.2202136
hirs11,ANIC003184,-36.98333,146.1667,7.4,19.54006232,6.930865103,16.48190616,16.19396964,10.85758237,15.33629153,2.159457478,10.69543539,5.7,19.2762701,7.204590032,15.37455788,3.35659164,10.94831873
hirs12,ANIC003186,-36.98333,146.1667,7.4,19.54006232,6.930865103,16.48190616,16.19396964,10.85758237,15.33629153,2.159457478,10.69543539,5.7,19.2762701,7.204590032,15.37455788,3.35659164,10.94831873
hirs13,ANIC003193,-36.98333,146.1667,7.4,19.54006232,6.930865103,16.48190616,16.19396964,10.85758237,15.33629153,2.159457478,10.69543539,5.7,19.2762701,7.204590032,15.37455788,3.35659164,10.94831873
hirs14,ANIC003197,-35.48333,148.7833,2.1,17.68941716,4.813387097,16.63846774,16.38796852,9.268140497,17.85033773,2.488782991,9.13648917,0.4,17.43118768,4.375549853,16.84403226,2.613416422,8.891259926
hirs15,ANIC002916,-30.4,152.35,0,18.06699658,7.326070381,16.71207234,16.92167911,11.6812193,23.5286233,3.395136852,11.76446721,0,17.93079179,7.391705767,16.44262952,3.635630499,11.86813137
hirs16,ANIC002917,-34.58333,149.5667,7.4,19.65322947,6.524923021,16.85448314,16.7297841,10.61800694,17.36934042,1.567155425,10.51903377,3.1,19.40840176,6.09627566,16.99222874,1.915542522,10.25127904
lats01,PicXB44110,-18.860353,145.906723,2.5,26.10228372,16.81329912,19.65868035,19.6242938,19.00535518,23.01034217,2.959860704,19.07270766,0.5,26.1041129,16.95384164,19.90791789,2.046847507,18.90251686
lats02,PicXB44113,-17.03,145.46,5.3,28.6793915,17.8742412,20.32218842,20.37511075,20.43295821,22.01397743,2.35813783,20.47936932,2.4,28.5777566,17.83046188,20.39675953,1.968768328,20.2980088
lats03,PicXB44116,-17.912829,145.911707,3.8,28.36109238,19.79958211,18.37432918,18.59362618,22.60259864,26.6188897,7.817558651,22.61115872,1.8,28.43359238,19.5920088,19.03337243,8.491935484,22.4892335
lats04,lats04,-17.03,145.46,5.3,28.6793915,17.8742412,20.32218842,20.37511075,20.43295821,22.01397743,2.35813783,20.47936932,2.4,28.5777566,17.83046188,20.39675953,1.968768328,20.2980088
lats05,lats05,-17.81,145.59,2,25.2884824,16.37143328,18.8373717,19.003806,20.24622318,26.24447397,4.812536657,20.28235759,0.2,25.15157625,16.48228006,18.8229912,4.310337243,20.1701426
macl01,ANIC003232,-23.96667,133.1667,133.5,29.23996221,13.18864701,21.3185034,21.41084433,8.902557692,1.349283591,1.122373394,8.870581694,27,28.5938746,13.04909968,21.14528135,1.946382637,9.250953376
macl02,ANIC003227,-23.75,133.95,216.4,29.46925548,13.00557319,21.14882464,21.4803447,8.959910547,0.3936774,1.267208365,8.953971319,45.5,29.07294748,12.84392283,21.09752947,2.110289389,9.255065648
macl03,ANIC003228,-23.75,133.95,216.4,29.46925548,13.00557319,21.14882464,21.4803447,8.959910547,0.3936774,1.267208365,8.953971319,45.5,29.07294748,12.84392283,21.09752947,2.110289389,9.255065648
macl04,ANIC003229,-23.96667,133.1667,133.5,29.23996221,13.18864701,21.3185034,21.41084433,8.902557692,1.349283591,1.122373394,8.870581694,27,28.5938746,13.04909968,21.14528135,1.946382637,9.250953376
macl05,ANIC003230,-23.75,133.95,216.4,29.46925548,13.00557319,21.14882464,21.4803447,8.959910547,0.3936774,1.267208365,8.953971319,45.5,29.07294748,12.84392283,21.09752947,2.110289389,9.255065648
macl06,ANIC003250,-23.01667,132.7,168.6,30.74623961,14.79395881,21.50531179,21.57872013,10.40140204,1.030231243,1.244368859,10.45210287,42.8,31.12004545,14.88323485,21.69584091,0.576893939,10.31891136
macl07,ANIC003251,-23.63332939,133.8666992,127,29.03431406,12.74269085,21.33561602,21.46462295,8.650982232,1.846805914,1.098639456,8.653348147,25.1,28.33442122,12.61155949,21.09417203,1.907234727,9.055712621
mcla01,ANIC003299,-26.36666667,119.8166667,43.6,30.54182551,15.34184018,20.99837243,20.80677389,10.83896372,-0.433167447,0.469134897,10.4476327,43.6,30.54182551,15.34184018,20.99837243,0.469134897,10.4476327
