Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus pindarus,pind01,ANIC008997,-30.51667023,151.6667023,ThisManuscript,NA
Anoplognathus pindarus,pind02,ANIC008999,-30.51667023,151.6667023,ThisManuscript,NA
Anoplognathus pindarus,pind03,ANIC009000,-30.51667,151.6667,ThisManuscript,NA
Anoplognathus pindarus,pind04,ANIC008950,-35.26667023,149.1000061,ThisManuscript,NA
Anoplognathus pindarus,pind05,ANIC008943,-35.38334,149.0833,ThisManuscript,NA
Anoplognathus pindarus,pind06,ANIC009007,-35.3,149.1333333,ThisManuscript,NA
Anoplognathus pindarus,pind07,ANIC008968,-30.51667023,151.6667023,ThisManuscript,NA
Anoplognathus pindarus,pind08,ANIC008967,-29.81666946,151.7333069,ThisManuscript,NA
Anoplognathus mcalpinei,pine01,NA,-11.39,142.27,ThisManuscript,NA
Anoplognathus porosus,poro01,ANIC009078,-35.26667023,149.1000061,ThisManuscript,NA
Anoplognathus porosus,poro02,ANIC009079,-35.26667023,149.1000061,ThisManuscript,NA
Anoplognathus porosus,poro03,ANIC009346,-29.11667,152.1667,ThisManuscript,NA
Anoplognathus porosus,poro04,ANIC009349,-27.93333,152.9333,ThisManuscript,NA
Anoplognathus porosus,poro05,ANIC009358,-28.55,151.8333,ThisManuscript,NA
Anoplognathus porosus,poro06,ANIC009359,-26.55,153.0833,ThisManuscript,NA
Anoplognathus porosus,poro07,ANIC009360,-26.55,153.0833,ThisManuscript,NA
Anoplognathus porosus,poro08,ANIC009240,-35.26667023,149.1000061,ThisManuscript,NA
Anoplognathus porosus,poro09,ANIC009241,-35.31666667,149.1,ThisManuscript,NA
Anoplognathus porosus,poro10,ANIC009243,-37.95,147.1167,ThisManuscript,NA
Anoplognathus porosus,poro11,ANIC009244,-35.65,150.1333333,ThisManuscript,NA
Anoplognathus porosus,poro12,ANIC009247,-37.53333,148.2333,ThisManuscript,NA
Anoplognathus porosus,poro13,ANIC009639,-30.51667,151.65,ThisManuscript,NA
Anoplognathus porosus,poro14,ANIC009641,-30.51667,151.65,ThisManuscript,NA
Anoplognathus porosus,poro15,ANIC009644,-17.45000076,145.3,ThisManuscript,NA
Anoplognathus porosus,poro16,ANIC009199,-16.91667,145.7667,PrettyCoolBeetles,poro1
Anoplognathus porosus,poro17,ANIC009200,-19.63333321,147.5,PrettyCoolBeetles,poro2
Anoplognathus prasinus,prsi01,ANIC010038,-28.66666985,153.2832947,ThisManuscript,NA
Anoplognathus prasinus,prsi02,ANIC010037,-28.61666667,153.3833333,ThisManuscript,NA
Anoplognathus prasinus,prsi03,ANIC010039,-30.38333,152.9833,ThisManuscript,NA
Anoplognathus prasinus,prsi04,ANIC010040,-30.38333,152.9833,PrettyCoolBeetles,prsi1
Anoplognathus prasinus,prsi05,ANIC010045,-28.81666667,153.2666667,PrettyCoolBeetles,prsi2
Anoplognathus prasinus,prsi06,ANIC010043,-28.2,153.1833,PrettyCoolBeetles,prsi3
Anoplognathus punctulatus,punc01,ANIC010186,-19.08333,146.3333,ThisManuscript,NA
Anoplognathus punctulatus,punc02,ANIC010200,-16.8,145.6333333,ThisManuscript,NA
Anoplognathus parvulus,pvul01,ANIC008611,-19.6,146.8333333,ThisManuscript,NA
Anoplognathus parvulus,pvul02,ANIC008607,-19.63333321,147.5,ThisManuscript,NA
