species,patch_ID,ID,R,G,B,type,camera_cat,col_percent,location
Agrilus_hypoleucus,Agrilus_hypoleucus_2,Agrilus_hypoleucus_2,0.299,0,145.129,UV,small,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_3,Agrilus_hypoleucus_3,2.989,0,154.477,UV,small,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_1,Agrilus_hypoleucus_1,98.242,114.454,111.625,VIS,small,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_2,Agrilus_hypoleucus_2,87.753,101.997,99.14,VIS,small,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_3,Agrilus_hypoleucus_3,66.929,77.824,74.963,VIS,small,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_1,Agrilus_hypoleucus_1,138.393,83.388,127.31,NIR,small,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_2,Agrilus_hypoleucus_2,141.368,85.456,130.447,NIR,small,1,grey
Agrilus_hypoleucus,Agrilus_hypoleucus_3,Agrilus_hypoleucus_3,141.811,85.663,130.825,NIR,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_1,Agrilus_occipitalis_1,0.001,0,43.819,UV,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_2,Agrilus_occipitalis_2,9.54E-04,0,57.078,UV,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_3,Agrilus_occipitalis_3,2.18E-04,0,62.993,UV,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_1,Agrilus_occipitalis_1,40.472,47.235,29.693,VIS,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_2,Agrilus_occipitalis_2,40.625,44.644,31.405,VIS,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_3,Agrilus_occipitalis_3,60.44,64.394,44.642,VIS,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_1,Agrilus_occipitalis_1,110.138,67.246,105.588,NIR,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_2,Agrilus_occipitalis_2,79.682,45.498,77.706,NIR,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_3,Agrilus_occipitalis_3,84.168,47.419,79.084,NIR,small,1,RoI
Agrilus_occipitalis,Agrilus_occipitalis_1,Agrilus_occipitalis_1,4.34,0,153.833,UV,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_2,Agrilus_occipitalis_2,0.541,0,147.724,UV,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_3,Agrilus_occipitalis_3,4.631,0,156.931,UV,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_1,Agrilus_occipitalis_1,92.848,107.621,104.847,VIS,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_2,Agrilus_occipitalis_2,86.992,100.668,97.594,VIS,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_3,Agrilus_occipitalis_3,96.803,112.189,109.355,VIS,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_1,Agrilus_occipitalis_1,137.972,82.972,127.025,NIR,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_2,Agrilus_occipitalis_2,139.557,84.123,128.656,NIR,small,1,grey
Agrilus_occipitalis,Agrilus_occipitalis_3,Agrilus_occipitalis_3,138.361,83.265,127.519,NIR,small,1,grey
Anilara_longicollis,Anilara_longicollis_1,Anilara_longicollis_1,0.002,0,40.549,UV,small,1,RoI
Anilara_longicollis,Anilara_longicollis_2,Anilara_longicollis_2,0.008,0,35.637,UV,small,1,RoI
Anilara_longicollis,Anilara_longicollis_3,Anilara_longicollis_3,0.003,0,33.019,UV,small,1,RoI
Anilara_longicollis,Anilara_longicollis_1,Anilara_longicollis_1,52.414,39.027,30.325,VIS,small,1,RoI
Anilara_longicollis,Anilara_longicollis_2,Anilara_longicollis_2,45.09,35.396,27.596,VIS,small,1,RoI
Anilara_longicollis,Anilara_longicollis_3,Anilara_longicollis_3,49.641,34.453,27.091,VIS,small,1,RoI
Anilara_longicollis,Anilara_longicollis_1,Anilara_longicollis_1,59.634,28.583,54.052,NIR,small,1,RoI
Anilara_longicollis,Anilara_longicollis_2,Anilara_longicollis_2,79.29,39.983,67.978,NIR,small,1,RoI
Anilara_longicollis,Anilara_longicollis_3,Anilara_longicollis_3,80.361,42.609,71.537,NIR,small,1,RoI
Anilara_longicollis,Anilara_longicollis_1,Anilara_longicollis_1,2.024,0,148.625,UV,small,1,grey
Anilara_longicollis,Anilara_longicollis_2,Anilara_longicollis_2,0.634,0,141.613,UV,small,1,grey
Anilara_longicollis,Anilara_longicollis_3,Anilara_longicollis_3,0.525,0,143.858,UV,small,1,grey
Anilara_longicollis,Anilara_longicollis_1,Anilara_longicollis_1,96.312,111.758,109.437,VIS,small,1,grey
Anilara_longicollis,Anilara_longicollis_2,Anilara_longicollis_2,86.879,100.933,98.428,VIS,small,1,grey
Anilara_longicollis,Anilara_longicollis_3,Anilara_longicollis_3,92.632,107.199,104.29,VIS,small,1,grey
Anilara_longicollis,Anilara_longicollis_1,Anilara_longicollis_1,137.528,82.517,126.391,NIR,small,1,grey
Anilara_longicollis,Anilara_longicollis_2,Anilara_longicollis_2,142.099,85.806,130.753,NIR,small,1,grey
Anilara_longicollis,Anilara_longicollis_3,Anilara_longicollis_3,136.622,82.189,125.612,NIR,small,1,grey
Anilara_sp,Anilara_sp_1,Anilara_sp_1,9.01E-04,0,44.905,UV,small,1,RoI
Anilara_sp,Anilara_sp_2,Anilara_sp_2,0.001,0,48.672,UV,small,1,RoI
Anilara_sp,Anilara_sp_3,Anilara_sp_3,0,0,66.342,UV,small,1,RoI
Anilara_sp,Anilara_sp_1,Anilara_sp_1,54.675,49.063,36.726,VIS,small,1,RoI
Anilara_sp,Anilara_sp_2,Anilara_sp_2,51.013,51.006,34.914,VIS,small,1,RoI
Anilara_sp,Anilara_sp_3,Anilara_sp_3,99.658,91.401,52.068,VIS,small,1,RoI
Anilara_sp,Anilara_sp_1,Anilara_sp_1,85.031,53.35,88.11,NIR,small,1,RoI
Anilara_sp,Anilara_sp_2,Anilara_sp_2,81.821,43.195,72.405,NIR,small,1,RoI
Anilara_sp,Anilara_sp_3,Anilara_sp_3,93.349,49.586,79.632,NIR,small,1,RoI
Anilara_sp,Anilara_sp_1,Anilara_sp_1,1.973,0,153.792,UV,small,1,grey
Anilara_sp,Anilara_sp_2,Anilara_sp_2,2.144,0,150.886,UV,small,1,grey
Anilara_sp,Anilara_sp_3,Anilara_sp_3,14.978,0,166.307,UV,small,1,grey
Anilara_sp,Anilara_sp_1,Anilara_sp_1,100.809,117.021,114.048,VIS,small,1,grey
Anilara_sp,Anilara_sp_2,Anilara_sp_2,90.613,104.561,101.616,VIS,small,1,grey
Anilara_sp,Anilara_sp_3,Anilara_sp_3,103.712,119.691,116.226,VIS,small,1,grey
Anilara_sp,Anilara_sp_1,Anilara_sp_1,136.621,82.108,125.82,NIR,small,1,grey
Anilara_sp,Anilara_sp_2,Anilara_sp_2,141.709,85.591,130.522,NIR,small,1,grey
Anilara_sp,Anilara_sp_3,Anilara_sp_3,141.964,85.741,130.88,NIR,small,1,grey
Apateum_luczotii,Apateum_luczotii_1,Apateum_luczotii_1,0.642,0.328,60.817,UV,large,1,RoI
Apateum_luczotii,Apateum_luczotii_1,Apateum_luczotii_1,45.595,46.957,41.555,VIS,large,1,RoI
Apateum_luczotii,Apateum_luczotii_1,Apateum_luczotii_1,79.604,37.996,58.864,NIR,large,1,RoI
Apateum_luczotii,Apateum_luczotii_1,Apateum_luczotii_1,28.118,0,176.135,UV,large,1,grey
Apateum_luczotii,Apateum_luczotii_1,Apateum_luczotii_1,129.617,149.258,146.108,VIS,large,1,grey
Apateum_luczotii,Apateum_luczotii_1,Apateum_luczotii_1,95.131,54.695,86.973,NIR,large,1,grey
Astraeus_bakeri,Astraeus_bakeri_1,Astraeus_bakeri_1,0.003,0,34.093,UV,small,0.746478873,RoI
Astraeus_bakeri,Astraeus_bakeri_2,Astraeus_bakeri_2,0.003,0,44.319,UV,small,0.783333333,RoI
Astraeus_bakeri,Astraeus_bakeri_3,Astraeus_bakeri_3,0.006,0,27.776,UV,small,0.810810811,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_1,Astraeus_bakeri_1,2.72E-04,0,41.417,UV,small,0.253521127,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_2,Astraeus_bakeri_2,0.004,0,45.368,UV,small,0.216666667,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_3,Astraeus_bakeri_3,0.006,0,33.392,UV,small,0.189189189,RoI
Astraeus_bakeri,Astraeus_bakeri_1,Astraeus_bakeri_1,31.884,33.838,26.337,VIS,small,0.746478873,RoI
Astraeus_bakeri,Astraeus_bakeri_2,Astraeus_bakeri_2,23.965,23.839,21.637,VIS,small,0.783333333,RoI
Astraeus_bakeri,Astraeus_bakeri_3,Astraeus_bakeri_3,22.111,23.796,19.197,VIS,small,0.810810811,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_1,Astraeus_bakeri_1,99.197,71.356,21.714,VIS,small,0.253521127,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_2,Astraeus_bakeri_2,94.457,72.766,34.587,VIS,small,0.216666667,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_3,Astraeus_bakeri_3,73.175,53.599,31.211,VIS,small,0.189189189,RoI
Astraeus_bakeri,Astraeus_bakeri_1,Astraeus_bakeri_1,96.518,59.618,96.089,NIR,small,0.746478873,RoI
Astraeus_bakeri,Astraeus_bakeri_2,Astraeus_bakeri_2,87.285,52.546,86.988,NIR,small,0.783333333,RoI
Astraeus_bakeri,Astraeus_bakeri_3,Astraeus_bakeri_3,81.042,48.832,81.957,NIR,small,0.810810811,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_1,Astraeus_bakeri_1,170.861,109.625,162.306,NIR,small,0.253521127,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_2,Astraeus_bakeri_2,124.119,76.026,118.075,NIR,small,0.216666667,RoI
Astraeus_bakeri,Astraeus_bakeri_yellow_3,Astraeus_bakeri_3,105,64.631,102.837,NIR,small,0.189189189,RoI
Astraeus_bakeri,Astraeus_bakeri_1,Astraeus_bakeri_1,13.222,0,167.962,UV,small,0.746478873,grey
