"","ind","R_ALL","R_VIS","R_NIR","Res","size","phylogeny_name","PC1","PC2","spp","ElytrPol"
"38","hirs07",29.95640668766,15.9477224563144,42.1560979758738,-0.785214482405173,2.487,"Anoplognathus_hirsutus",0.944843555915989,0.165980980399323,"hirs",-0.0852882018286234
"39","hirs08",21.0338597719558,8.31742723187508,32.1093763771118,-3.32616473212864,2.407,"Anoplognathus_hirsutus",0.944843555915989,0.165980980399323,"hirs",-0.0204673129625956
"40","hirs09",23.2577104139398,7.57451665046223,36.9161611693776,2.21140658842325,2.428,"Anoplognathus_hirsutus",1.31005632745989,0.559563665842675,"hirs",-0.12795972563464
"41","hirs10",25.519561234474,8.55547024835401,40.2992876217186,4.6295882787045,2.28,"Anoplognathus_hirsutus",1.02944223479723,0.933357864265931,"hirs",-0.0665401262325679
"42","hirs11",23.6274587238456,10.3889621118189,35.1643313985111,-2.30893783173509,2.478,"Anoplognathus_hirsutus",1.1582260198883,1.47288364413146,"hirs",-0.0648403483956789
"43","hirs12",31.0338744188106,16.5543809283542,43.6614658950714,0.123395428858118,2.299,"Anoplognathus_hirsutus",1.1582260198883,1.47288364413146,"hirs",-0.0486063675514559
"44","hirs13",25.4455015364049,15.7344786747547,33.9092656564248,-8.8222830877497,2.252,"Anoplognathus_hirsutus",1.1582260198883,1.47288364413146,"hirs",-0.0791299822664005
"45","hirs14",21.2432244253592,10.6452633660807,30.4819563758732,-7.24343135757315,2.27,"Anoplognathus_hirsutus",0.923771162833308,2.14912736105463,"hirs",-0.119803074697988
"46","lats01",34.2136140624894,20.4171049499318,46.241220679075,-1.09653543986878,2.844,"Anoplostethus_laetus",-0.880815315384265,-0.382068528384549,"lats",0.402025844220437
"47","lats02",35.4503138822677,19.2410782330383,49.5885680237878,3.40764625760811,3.094,"Anoplostethus_laetus",-0.889098409048643,-1.16236153771344,"lats",0.424924522200729
"48","lats03",39.8081024936478,19.3200116227925,57.6514519427047,11.3928849533885,2.975,"Anoplostethus_laetus",-3.87971342513118,0.928038951063704,"lats",0.427598129943236
"49","macl02",45.1645690627272,28.8184339726782,59.4285708198314,3.82659256819693,3.23,"Anoplognathus_macleayi",2.77047667801174,-4.39689284161909,"macl",-0.0200046547434446
"50","macl03",44.9406487597525,25.5753083618834,61.84003911507,9.42825974497691,3.129,"Anoplognathus_macleayi",2.77047667801174,-4.39689284161909,"macl",-0.0161531391624899
"51","macl04",34.4329444014187,18.9060537715722,47.9689630234278,2.11759823114409,2.967,"Anoplognathus_macleayi",2.58994553631669,-3.70750409765256,"macl",-0.0359342193111539
"52","mcla01",28.2196443306034,16.7063322279154,38.2491303895274,-5.43841158167332,3.264,"Anoplognathus_macleayi",2.5052381982962,-3.25000101000541,"mcla",0.0462251111907705
"53","mcla02",45.0725254727031,33.4748268818683,55.1921736768867,-4.99020670332115,3.009,"Anoplognathus_macleayi",2.06713015534192,-3.5772617373059,"mcla",0.00083681862671161
"54","meli01",29.0723054359233,18.2842531285015,38.4863880118536,-6.75332371665022,1.988,"Anoplognathus_daemeli",-3.53368146360068,-0.446076404431291,"meli",-0.0359433967635343
"55","meli02",24.8446177590344,13.5637832493893,34.6846942974668,-5.91158404733815,2.119,"Anoplognathus_daemeli",-3.53368146360068,-0.446076404431291,"meli",-0.0378472394460835
"56","meli03",27.9812682298638,16.2105783475801,38.249091393104,-4.95078723588726,1.919,"Anoplognathus_daemeli",-3.53368146360068,-0.446076404431291,"meli",-0.0285438337482686
