"","ind","R_ALL","R_VIS","R_NIR","Res","size","phylogeny_name","PC1","PC2","phylogeny_name.1"
"92","macl03",44.9406487597525,25.5753083618834,61.84003911507,9.42825974497691,3.129,"Anoplognathus_macleayi",2.77047667801174,-4.39689284161909,"Anoplognathus_macleayi"
"93","macl04",34.4329444014187,18.9060537715722,47.9689630234278,2.11759823114409,2.967,"Anoplognathus_macleayi",2.58994553631669,-3.70750409765256,"Anoplognathus_macleayi"
"94","macl05",35.2662832548217,17.4472620356338,50.8101740962522,6.39379404489309,2.858,"Anoplognathus_macleayi",2.77047667801174,-4.39689284161909,"Anoplognathus_macleayi"
"95","macl06",43.7852035827963,24.8035230153792,60.344465903132,8.69187659987204,2.97,"Anoplognathus_macleayi",2.35367475538465,-4.28329356818847,"Anoplognathus_macleayi"
"96","macl07",34.5463901932112,15.6389366751512,51.0291896242877,8.39162366612083,2.97,"Anoplognathus_macleayi",2.58744417395607,-3.60295890992237,"Anoplognathus_macleayi"
"97","mcla01",28.2196443306034,16.7063322279154,38.2491303895274,-5.43841158167332,3.264,"Anoplognathus_macleayi",2.5052381982962,-3.25000101000541,"Anoplognathus_macleayi"
"98","mcla02",45.0725254727031,33.4748268818683,55.1921736768867,-4.99020670332115,3.009,"Anoplognathus_macleayi",2.06713015534192,-3.5772617373059,"Anoplognathus_macleayi"
"99","mcla03",40.7096423742358,23.1270535679253,56.0483284831862,6.04484920465176,3.1365,"Anoplognathus_macleayi",1.88430709522534,-3.44988021633439,"Anoplognathus_macleayi"
"100","meli01",29.0723054359233,18.2842531285015,38.4863880118536,-6.75332371665022,1.988,"Anoplognathus_daemeli",-3.53368146360068,-0.446076404431291,"Anoplognathus_daemeli"
"101","meli02",24.8446177590344,13.5637832493893,34.6846942974668,-5.91158404733815,2.119,"Anoplognathus_daemeli",-3.53368146360068,-0.446076404431291,"Anoplognathus_daemeli"
"102","meli03",27.9812682298638,16.2105783475801,38.249091393104,-4.95078723588726,1.919,"Anoplognathus_daemeli",-3.53368146360068,-0.446076404431291,"Anoplognathus_daemeli"
