"","ind","ElytrPol","PronotPol","Difference"
"102","pind07",0.036773598507235,0.0300426351819987,0.0067309633252363
"103","pind08",0.0147313441529307,0.063003877531015,-0.0482725333780843
"104","pine01",0.15605577920392,0.238273766724054,-0.0822179875201338
"105","poro01",0.00389699002984288,0.00304991555075301,0.000847074479089875
"106","poro02",-0.0189380731064536,-0.0103655062915076,-0.00857256681494602
"107","poro03",0.0105323601472629,0.0427875023352765,-0.0322551421880136
"108","poro04",0.00919016214281327,0.0475936281942065,-0.0384034660513932
"109","poro05",0.0374417598365955,0.114870046795815,-0.0774282869592198
"110","poro06",0.0389666030849461,0.0875768181977137,-0.0486102151127676
"111","poro07",0.0372264072620071,0.0760622349368551,-0.0388358276748479
"112","poro08",0.0322276637922119,0.0505313470391141,-0.0183036832469022
"113","poro09",0.0252491985702418,0.0375029644211834,-0.0122537658509416
"114","poro12",0.0180849444655244,0.0188880462157542,-0.000803101750229768
"115","poro13",0.0402592742099232,0.0721355013677441,-0.031876227157821
"116","poro14",0.0480469324036798,0.0932285059712418,-0.045181573567562
"117","poro15",0.0304026493702559,0.0702743416213074,-0.0398716922510514
"118","prsi01",-0.0333573266155403,-0.0240056427811638,-0.00935168383437649
"119","prsi02",-0.0144849471261011,-0.00864366951868574,-0.00584127760741531
"120","prsi03",-0.018098380845632,-0.0118988904188849,-0.00619949042674709
"121","punc01",0.076965040346983,0.0573465487389162,0.0196184916080668
"122","punc02",0.10613731277367,0.139996274879903,-0.0338589621062331
"123","pvul01",0.166299528108989,0.40766115233019,-0.241361624221201
"124","pvul02",0.414058319586896,0.259668520678439,0.154389798908457
"125","pvul03",0.404445150625907,0.235126566568048,0.169318584057859
"126","pvul04",0.348784343796737,0.193935316650457,0.154849027146279
"127","rayn01",0.400322817375311,0.153010164020879,0.247312653354433
"128","rayn02",0.166003737688753,0.236467930627133,-0.0704641929383798
"129","rayn03",0.212127659942243,0.108771000020693,0.10335665992155
"130","repa01",0.0701134571359575,0.0856172033790611,-0.0155037462431036
"131","repa02",0.0513398926129206,0.0818815765860129,-0.0305416839730923
"132","reps01",0.0357721741073744,0.0597007349941598,-0.0239285608867854
"133","reps02",0.0477717028335826,0.0714886582603995,-0.0237169554268169
"134","rept01",0.0634660097909498,0.0980854588112861,-0.0346194490203363
"135","rept02",0.0585501310266698,0.0733653391694145,-0.0148152081427447
"136","rina02",0.113400712730468,0.183290046771861,-0.069889334041393
"137","rina03",0.0780115123688816,0.122540548087252,-0.0445290357183701
"138","rina04",0.0687485050761196,0.150115107069766,-0.0813666019936462
"139","roci03",0.053161594710244,0.0603310254343635,-0.00716943072411946
"140","roci04",0.0570202559597645,0.0427823948331944,0.0142378611265701
"141","rose01",0.518633599914006,0.496295639211862,0.0223379607021442
"142","rose02",0.333442086233179,0.351443626476521,-0.0180015402433422
"143","rose03",0.406881869017664,0.394640120184931,0.0122417488327333
"144","rose04",0.501785012728037,0.477274449441152,0.0245105632868848
"145","rubi01",-0.00217294153353069,0.112165220583441,-0.114338162116972
"146","rubi02",0.0467761951237563,0.158879495454433,-0.112103300330677
"147","rubi03",0.114286653352416,0.121105187351341,-0.00681853399892499
"148","rubi04",0.093105604016784,0.0877921906677327,0.00531341334905136
"149","rubi05",0.118099314619652,0.11514924059861,0.00295007402104192
"150","rubi06",0.0986615344397873,0.0925801525705424,0.00608138186924491
"151","rugo01",-0.0359126669890908,0.0476817478302656,-0.0835944148193564
"152","rugo02",-0.0463779831044408,-0.00830806696365029,-0.0380699161407905
"153","rugo03",-0.0451372406497334,0.00191267559316603,-0.0470499162428994
"154","smgg01",0.215123397154204,0.25541277367866,-0.0402893765244558
"155","smgg02",0.145212095202373,0.193793676098241,-0.0485815808958671
"156","smgp01",0.0306875718973154,0.0527953952561307,-0.0221078233588153
"157","smgr01",0.216455576312258,0.0862345072046114,0.130221069107647
"158","tars01",0.0505942104628579,0.127877500875424,-0.0772832904125657
