"","ind","Type","RGB_ave"
"518","xyle02","RCP",2.35322815611698
"519","xyle02","VIS",2.7565721493782
"520","xyle03","LCP",3.50884253037712
"521","xyle03","RCP",3.9822073255507
"522","xyle03","VIS",4.22963254833907
"523","xyls01","LCP",3.46743930394564
"524","xyls01","RCP",3.9056745800506
"525","xyls01","VIS",4.15981838122149
"526","xyls02","LCP",5.12867872336729
"527","xyls02","RCP",5.52436191245252
"528","xyls02","VIS",5.70079352402341
"529","xyls03","LCP",2.75447311481948
"530","xyls03","RCP",3.08815057213408
"531","xyls03","VIS",3.4747060992839
