spp,reg,Latitude,Longitude,ALA.month,picode,colection.month,batch,NameinHR,NameinTree,NPPMean,fractionalCoverBareSoil20120305,leafAreaIndexLAI20120305,fractionOfPhotosyntheticallyActiveRadiationFPAR,aridityIndexAnnualMean,growthIndexC3MacrothermPlantsAnnualMean,growthIndexC3MesothermPlantsAnnualMean,growthIndexC4MegathermPlantsAnnualMean
nebn03,ANIC005585,-23.55,149.65,4,PicXB54456,12,original,NA,Anoplognathus_nebulosus     ,7,1,1.1,54,0.32452735,0.23,0.23,0.19
neus01,ANIC000073,-17.77,145.58,1,PicXB13648,1,original,NA,Anoplognathus_aeneus,18,NA,5.5,87,1.3304513,0.56,0.64,0.45
neus02,ANIC000105,-18.98,146.15,1,PicXB54415,1,original,NA,Anoplognathus_aeneus,16,NA,2.5,67,1.195365,0.41,0.69,0.31
oliv01,ANIC005962,-30.38,153.03,1,PicXB54444,2,original,NA,Anoplognathus_olivieri,19,0,2.2,71,1.0669996,0.33,0.69,0.24
oliv02,ANIC005963,-30.38,153.03,1,PicXB54447,2,original,NA,Anoplognathus_olivieri,19,0,2.2,71,1.0669996,0.33,0.69,0.24
opal01,PicXB13659,-31.9,116,12,PicXB13659,12,original,NA,Anoplostethus_opalinus,0,20,0.5,28,0.7896555,0.07,0.36,0.05
opal02,PicXB44124,-31.95,115.84,12,PicXB44124,12,original,NA,Anoplostethus_opalinus,14,34,1,44,0.8567213,0.07,0.37,0.05
opal03,ANIC,-31.75,116.09,12,NA,12,HR,opal1,Anoplostethus_opalinus,7,8,0.9,41,0.9196999,0.06,0.33,0.04
pali01,ANIC008588,-35.3,149.13,12,PicXB23713,1,original,NA,Anoplognathus_pallidicollis,0,10,0.3,20,0.5741836,0.06,0.21,0.04
pali02,ANIC008590,-35.27,149.1,12,PicXB23716,1,original,NA,Anoplognathus_pallidicollis,8,3,0.7,35,0.63394165,0.05,0.21,0.03
pali03,ANIC008525,-31.52,146.1,12,PicXB13610,12,original,NA,Anoplognathus_pallidicollis,3,33,1,42,0.21392433,0.06,0.11,0.04
pali04,ANIC008529,-34.58,142.77,12,PicXB23719,10,original,NA,Anoplognathus_pallidicollis,4,32,0.7,36,0.2599521,0.04,0.13,0.03
pali05,ANIC008530,-34.58,142.77,12,PicXB23722,10,original,NA,Anoplognathus_pallidicollis,4,32,0.7,36,0.2599521,0.04,0.13,0.03
pali06,ANIC008532,-24.87,152.35,12,PicXB23725,11,original,NA,Anoplognathus_pallidicollis,8,32,NA,NA,0.59448236,0.39,0.48,0.31
pali07,ANIC008533,-27.32,153,12,PicXB23728,1,original,NA,Anoplognathus_pallidicollis,9,13,NA,NA,0.7589073,0.38,0.63,0.29
pali08,ANIC006061,-35.27,149.1,12,NA,1,HR,pali1,Anoplognathus_pallidicollis,8,3,0.7,35,0.63394165,0.05,0.21,0.03
pali09,ANIC006062,-35.27,149.1,12,NA,2,HR,pali2,Anoplognathus_pallidicollis,14,18,0.7,30,0.734333,0.05,0.21,0.03
pczo01,PicXB44091,-30.36,152.73,1,PicXB44091,12,original,NA,Paraschizognathus_ocularis,8,NA,4,81,1.161988,0.22,0.61,0.15
pczo02,PicXB44094,-30.48,152.66,1,PicXB44094,12,original,NA,Paraschizognathus_ocularis,15,NA,6.2,93,1.169623,0.2,0.6,0.13
pczo03,PicXB44097,-30.48,152.66,1,PicXB44097,12,original,NA,Paraschizognathus_ocularis,15,NA,6.2,93,1.169623,0.2,0.6,0.13
pczo05,ANIC,-29.28,152.21,1,NA,12,HR,ocul2,Paraschizognathus_ocularis,16,0,4,84,0.7139945,0.14,0.44,0.09
pczp01,PicXB64860,-33.28,150.13,1,PicXB64860,12,original,NA,Paraschizognathus_prasinus,8,0,1.3,50,0.5999821,0.08,0.27,0.05
pczp02,PicXB64864,-33.3,150.23,1,PicXB64864,2,original,NA,Paraschizognathus_prasinus,15,NA,5.5,87,0.89548874,0.06,0.31,0.04
pczp03,PicXB64868,-34.4,150.04,1,PicXB64868,12,original,NA,Paraschizognathus_prasinus,7,0,2.1,71,0.5703145,0.07,0.25,0.05
pczp04,PicXB64871,-34.4,150.04,1,PicXB64871,12,original,NA,Paraschizognathus_prasinus,7,0,2.1,71,0.5703145,0.07,0.25,0.05
pczp05,ANIC,-33.84,150.41,1,NA,1,HR,ppsi1,Paraschizognathus_prasinus,16,0,3.6,82,0.92333627,0.12,0.45,0.08
pczp06,ANIC,-33.42,150.31,1,NA,12,HR,ppsi2,Paraschizognathus_prasinus,14,21,1.2,47,0.9808569,0.07,0.38,0.05
pczv01,PicXB64850,-30.44,153.04,1,PicXB64850,12,original,NA,Paraschizognathus_olivaceous,17,NA,3.9,80,1.0762581,0.33,0.69,0.24
pczv02,PicXB64853,-30.23,153.02,1,PicXB64853,1,original,NA,Paraschizognathus_olivaceous,19,0,5.7,89,1.0600019,0.32,0.68,0.23
pczv03,PicXB64857,-30.28,152.99,1,PicXB64857,12,original,NA,Paraschizognathus_olivaceous,18,0,6,90,1.1192383,0.31,0.69,0.23
pczv04,ANIC,-31.74,152.56,1,NA,12,HR,oliv1,Paraschizognathus_olivaceous,14,NA,6,90,1.205745,0.29,0.69,0.2
