Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Paraschizognathus prasinus,pczp05,NA,-33.84,150.41,PrettyCoolBeetles,ppsi1
Paraschizognathus prasinus,pczp06,NA,-33.42,150.31,PrettyCoolBeetles,ppsi2
Paraschizognathus olivaceous,pczv01,NA,-30.44,153.04,ThisManuscript,NA
Paraschizognathus olivaceous,pczv02,NA,-30.23,153.02,ThisManuscript,NA
Paraschizognathus olivaceous,pczv03,NA,-30.28,152.99,ThisManuscript,NA
Paraschizognathus olivaceous,pczv04,NA,-31.74,152.56,PrettyCoolBeetles,oliv1
Paraschizognathus olivaceous,pczv05,NA,-30.23,153.02,PrettyCoolBeetles,oliv2
Anoplognathus pindarus,pind01,ANIC008997,-30.52,151.67,ThisManuscript,NA
Anoplognathus pindarus,pind02,ANIC008999,-30.52,151.67,ThisManuscript,NA
Anoplognathus pindarus,pind03,ANIC009000,-30.52,151.67,ThisManuscript,NA
Anoplognathus pindarus,pind04,ANIC008950,-35.27,149.1,ThisManuscript,NA
Anoplognathus pindarus,pind05,ANIC008943,-35.38,149.08,ThisManuscript,NA
Anoplognathus pindarus,pind06,ANIC009007,-35.3,149.13,ThisManuscript,NA
Anoplognathus pindarus,pind07,ANIC008968,-30.52,151.67,ThisManuscript,NA
Anoplognathus pindarus,pind08,ANIC008967,-29.82,151.73,ThisManuscript,NA
Anoplognathus mcalpinei,pine01,NA,-11.39,142.27,ThisManuscript,NA
Anoplognathus porosus,poro01,ANIC009078,-35.27,149.1,ThisManuscript,NA
Anoplognathus porosus,poro02,ANIC009079,-35.27,149.1,ThisManuscript,NA
Anoplognathus porosus,poro03,ANIC009346,-29.12,152.17,ThisManuscript,NA
Anoplognathus porosus,poro04,ANIC009349,-27.93,152.93,ThisManuscript,NA
Anoplognathus porosus,poro05,ANIC009358,-28.55,151.83,ThisManuscript,NA
Anoplognathus porosus,poro06,ANIC009359,-26.55,153.08,ThisManuscript,NA
Anoplognathus porosus,poro07,ANIC009360,-26.55,153.08,ThisManuscript,NA
Anoplognathus porosus,poro08,ANIC009240,-35.27,149.1,ThisManuscript,NA
Anoplognathus porosus,poro09,ANIC009241,-35.32,149.1,ThisManuscript,NA
Anoplognathus porosus,poro10,ANIC009243,-37.95,147.12,ThisManuscript,NA
Anoplognathus porosus,poro11,ANIC009244,-35.65,150.13,ThisManuscript,NA
Anoplognathus porosus,poro12,ANIC009247,-37.53,148.23,ThisManuscript,NA
Anoplognathus porosus,poro13,ANIC009639,-30.52,151.65,ThisManuscript,NA
Anoplognathus porosus,poro14,ANIC009641,-30.52,151.65,ThisManuscript,NA
Anoplognathus porosus,poro15,ANIC009644,-17.45,145.3,ThisManuscript,NA
Anoplognathus porosus,poro16,ANIC009199,-16.92,145.77,PrettyCoolBeetles,poro1
Anoplognathus porosus,poro17,ANIC009200,-19.63,147.5,PrettyCoolBeetles,poro2
Anoplognathus prasinus,prsi01,ANIC010038,-28.67,153.28,ThisManuscript,NA
Anoplognathus prasinus,prsi02,ANIC010037,-28.62,153.38,ThisManuscript,NA
Anoplognathus prasinus,prsi03,ANIC010039,-30.38,152.98,ThisManuscript,NA
Anoplognathus prasinus,prsi04,ANIC010040,-30.38,152.98,PrettyCoolBeetles,prsi1
Anoplognathus prasinus,prsi05,ANIC010045,-28.82,153.27,PrettyCoolBeetles,prsi2
Anoplognathus prasinus,prsi06,ANIC010043,-28.2,153.18,PrettyCoolBeetles,prsi3
Anoplognathus punctulatus,punc01,ANIC010186,-19.08,146.33,ThisManuscript,NA
